operation,complexity_score,scale,num_sequences,neon_speedup,parallel_speedup,combined_speedup,notes
base_counting,0.39,tiny,100,53.00,0.23,0.21,Phase1_Day1
base_counting,0.39,small,1000,65.00,7.33,3.72,Phase1_Day1
base_counting,0.39,medium,10000,53.00,56.61,50.88,Phase1_Day1
base_counting,0.39,large,100000,16.50,72.24,66.98,Phase1_Day1
base_counting,0.39,vlarge,1000000,18.24,68.45,72.56,Phase1_Day1
base_counting,0.39,huge,10000000,16.12,56.61,67.36,Phase1_Day1
gc_content,0.315,tiny,100,35.00,0.25,0.26,Phase1_Day2
gc_content,0.315,small,1000,35.00,13.42,6.02,Phase1_Day2
gc_content,0.315,medium,10000,23.00,64.33,51.00,Phase1_Day2
gc_content,0.315,large,100000,14.00,43.77,40.66,Phase1_Day2
gc_content,0.315,vlarge,1000000,14.00,56.00,75.00,Phase1_Day2
gc_content,0.315,huge,10000000,14.00,60.14,74.29,Phase1_Day2
reverse_complement,0.345,tiny,100,1.00,0.84,1.31,Phase1_Day2_EncodingLimited
reverse_complement,0.345,small,1000,1.00,1.69,1.61,Phase1_Day2_EncodingLimited
reverse_complement,0.345,medium,10000,1.00,3.11,3.05,Phase1_Day2_EncodingLimited
reverse_complement,0.345,large,100000,1.00,3.73,3.65,Phase1_Day2_EncodingLimited
reverse_complement,0.345,vlarge,1000000,1.00,3.69,3.66,Phase1_Day2_EncodingLimited
reverse_complement,0.345,huge,10000000,1.00,3.68,3.63,Phase1_Day2_EncodingLimited
quality_aggregation,0.61,tiny,100,16.75,0.22,0.17,Phase1_Day3_ComplexAggregation
quality_aggregation,0.61,small,1000,22.73,1.28,1.96,Phase1_Day3_PeakAt1K
quality_aggregation,0.61,medium,10000,15.81,9.31,6.61,Phase1_Day3
quality_aggregation,0.61,large,100000,7.21,18.90,12.08,Phase1_Day3
quality_aggregation,0.61,vlarge,1000000,7.71,23.01,21.91,Phase1_Day3
quality_aggregation,0.61,huge,10000000,8.03,24.80,25.58,Phase1_Day3
n_content,0.48,tiny,100,8.05,0.20,0.22,Phase1_Day3_MediumComplexity
n_content,0.48,small,1000,7.91,1.27,1.10,Phase1_Day3
n_content,0.48,medium,10000,7.96,11.56,10.44,Phase1_Day3
n_content,0.48,large,100000,5.61,13.90,14.90,Phase1_Day3
n_content,0.48,vlarge,1000000,4.90,10.68,6.44,Phase1_Day3
n_content,0.48,huge,10000000,2.96,15.05,14.88,Phase1_Day3
